title,author,runtime
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
Algorithms to Live By,Brian Christian,Length: 11 hrs and 50 mins
The Tipping Point,Malcolm Gladwell,Length: 8 hrs and 34 mins
Girl in Pieces,Kathleen Glasgow,Length: 10 hrs and 42 mins
Eclipse,Stephenie Meyer,Length: 16 hrs and 26 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
Recovery,Russell Brand,Length: 7 hrs and 50 mins
Gone Girl,Gillian Flynn,Length: 19 hrs and 57 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 9 mins
The Deal,Elle Kennedy,Length: 12 hrs and 26 mins
The Seven Spiritual Laws of Success,Deepak Chopra MD,Length: 1 hr and 26 mins
The Monk Who Sold His Ferrari,Robin Sharma,Length: 6 hrs and 34 mins
The Universe Has Your Back,Gabrielle Bernstein,Length: 4 hrs and 30 mins
Giovanni's Room,James Baldwin,Length: 6 hrs and 49 mins
Mindsight,Daniel J. Siegel,Length: 11 hrs and 45 mins
The Magician King,Lev Grossman,Length: 15 hrs and 49 mins
Scrappy Little Nobody,Anna Kendrick,Length: 6 hrs
"Epic Content Marketing, Second Edition",Joe Pulizzi,Length: 9 hrs and 45 mins
Cannery Row,John Steinbeck,Length: 5 hrs and 59 mins
Every Good Endeavor,Timothy Keller,Length: 7 hrs and 55 mins
"Tinker, Tailor, Soldier, Spy",John le Carré,Length: 12 hrs and 49 mins
How I Raised Myself from Failure to Success in Selling,Frank Bettger,Length: 6 hrs and 15 mins
Sideways Stories from Wayside School,Louis Sachar,Length: 2 hrs and 26 mins
Nuclear War Survival,David Kobler,Length: 1 hr and 19 mins
The Gospel of J. Edgar Hoover,Lerone A. Martin,Length: 12 hrs and 34 mins
"If This Book Exists, You're in the Wrong Universe",Jason Pargin,Length: 14 hrs and 25 mins
Romancing Mister Bridgerton,Julia Quinn,Length: 13 hrs and 17 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
Positive Affirmations for Black Men,Alexandra Adams,Length: 5 hrs and 30 mins
Dark Alliance Turbulent Waters,I. T. Lucas,Length: 8 hrs and 21 mins
Building a StoryBrand,Donald Miller,Length: 4 hrs and 56 mins
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
The Duke and I,Julia Quinn,Length: 12 hrs and 9 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
Algorithms to Live By,Brian Christian,Length: 11 hrs and 50 mins
The Tipping Point,Malcolm Gladwell,Length: 8 hrs and 34 mins
Girl in Pieces,Kathleen Glasgow,Length: 10 hrs and 42 mins
Eclipse,Stephenie Meyer,Length: 16 hrs and 26 mins
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,MJ DeMarco,Length: 12 hrs and 46 mins
Recovery,Russell Brand,Length: 7 hrs and 50 mins
Gone Girl,Gillian Flynn,Length: 19 hrs and 57 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
The Outsiders,S. E. Hinton,Length: 5 hrs and 9 mins
The Deal,Elle Kennedy,Length: 12 hrs and 26 mins
The Seven Spiritual Laws of Success,Deepak Chopra MD,Length: 1 hr and 26 mins
The Monk Who Sold His Ferrari,Robin Sharma,Length: 6 hrs and 34 mins
The Universe Has Your Back,Gabrielle Bernstein,Length: 4 hrs and 30 mins
"Many Lives, Many Masters",Brian L. Weiss M.D.,Length: 1 hr and 28 mins
Wildflower,Drew Barrymore,Length: 7 hrs and 5 mins
Oh Crap! Potty Training,Jamie Glowacki,Length: 8 hrs and 4 mins
Captivate,Vanessa Van Edwards,Length: 7 hrs and 28 mins
Mother and Son,Dr. Emerson Eggerichs,Length: 8 hrs and 35 mins
A Walk in the Woods,Bill Bryson,Length: 9 hrs and 44 mins
Give and Take,Adam M. Grant PhD,Length: 11 hrs and 50 mins
Magpie Murders,Anthony Horowitz,Length: 15 hrs and 48 mins
Chasing Sunsets,Rachel Hanna,Length: 3 hrs and 47 mins
When Swords Fall Silent,Bryce O'Connor,Length: 15 hrs and 6 mins
Purity,Skyler Mason,Length: 6 hrs and 30 mins
The 40 Day Feast,Wendy Speake,Length: 7 hrs and 20 mins
Solenoid,Mircea Cărtărescu,Length: 34 hrs and 4 mins
Vow of Justice,Robin James,Length: 8 hrs and 35 mins
No More Lies,Rachel Abbott,Length: 11 hrs and 41 mins
The Phoenix Prophecy: Nova,Cara Clare,Length: 7 hrs and 3 mins
Promise Me Always,A.L. Jackson,Length: 12 hrs and 37 mins
Edin,Lily Mayne,Length: 13 hrs and 17 mins
Dark Invasion,Nathan Hystad,Length: 9 hrs and 22 mins
Toes Up in the Tulips,Dale Mayer,Length: 6 hrs and 11 mins
Black Candle Women,Diane Marie Brown,Length: 12 hrs and 13 mins
Legends & Lattes,Travis Baldree,Length: 7 hrs and 19 mins
El cuco de cristal [The Crystal Cuckoo],Javier Castillo,Length: 10 hrs and 57 mins
Between,L. L. Starling,Length: 32 hrs and 9 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
The Holiday Home,Daniel Hurst,Length: 6 hrs and 49 mins
The Last Aether,Tessa Hale,Length: 6 hrs and 34 mins
Smart Brevity,Jim VandeHei,Length: 3 hrs and 1 min
The Never King,Nikki St. Crowe,Length: 4 hrs and 35 mins
Your Consent Is Not Required,Rob Wipond,Length: 13 hrs and 32 mins
Once Upon a Time in Pemberley,Summer Hanford,Length: 10 hrs and 56 mins
Energy Leadership,Bruce D Schneider,Length: 8 hrs and 41 mins
Split Scope,Mike Ryan,Length: 5 hrs and 16 mins
Murder at an Irish Bakery,Carlene O'Connor,Length: 9 hrs and 32 mins
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
"Yes, and...",Richard Rohr OFM,Length: 12 hrs and 5 mins
A Light in the Flame,Jennifer L. Armentrout,Length: 26 hrs and 27 mins
Butterfly 4,Ashley Antoinette,Length: 11 hrs and 18 mins
Stone Age Hero,Quentin Kilgore,Length: 7 hrs and 10 mins
Firefly: Coup de Grâce,Una McCormack,Length: 11 hrs
The Shop Around the Corner,Anne-Marie Meyer,Length: 6 hrs and 40 mins
Faithful Unto Death,Caroline Graham,Length: 13 hrs and 12 mins
Medical Medium Brain Saver,Anthony William,Length: 29 hrs and 16 mins
A Cult of One,Richard Grannon,Length: 4 hrs and 31 mins
The Courage to Face Covid-19,John Leake,Length: 9 hrs and 57 mins
City of Likes,Jenny Mollen,Length: 7 hrs and 5 mins
The Last Aether,Tessa Hale,Length: 6 hrs and 34 mins
Smart Brevity,Jim VandeHei,Length: 3 hrs and 1 min
The Never King,Nikki St. Crowe,Length: 4 hrs and 35 mins
Your Consent Is Not Required,Rob Wipond,Length: 13 hrs and 32 mins
Once Upon a Time in Pemberley,Summer Hanford,Length: 10 hrs and 56 mins
Energy Leadership,Bruce D Schneider,Length: 8 hrs and 41 mins
Split Scope,Mike Ryan,Length: 5 hrs and 16 mins
Murder at an Irish Bakery,Carlene O'Connor,Length: 9 hrs and 32 mins
The Power of One More,Ed Mylett,Length: 5 hrs and 19 mins
"Yes, and...",Richard Rohr OFM,Length: 12 hrs and 5 mins
A Light in the Flame,Jennifer L. Armentrout,Length: 26 hrs and 27 mins
Butterfly 4,Ashley Antoinette,Length: 11 hrs and 18 mins
Stone Age Hero,Quentin Kilgore,Length: 7 hrs and 10 mins
Firefly: Coup de Grâce,Una McCormack,Length: 11 hrs
The Shop Around the Corner,Anne-Marie Meyer,Length: 6 hrs and 40 mins
Faithful Unto Death,Caroline Graham,Length: 13 hrs and 12 mins
Medical Medium Brain Saver,Anthony William,Length: 29 hrs and 16 mins
A Cult of One,Richard Grannon,Length: 4 hrs and 31 mins
The Courage to Face Covid-19,John Leake,Length: 9 hrs and 57 mins
City of Likes,Jenny Mollen,Length: 7 hrs and 5 mins
